Image,Type,Complexity,Causes
1.png,meandering,7.0,"Moisture, Underlying Settlement, Inadequate Slab Thickness, Tree Roots"
2.png,block,8.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
3.png,meandering,8.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture"
4.png,longitudinal,7.0,Join Issues
5.png,meandering,8.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture"
6.png,block,9.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
7.png,meandering,7.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
8.png,meandering,6.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture"
9.png,transverse,4.0,"Join Issues, Aged/Hardened Bitumen, Underlying Settlement, Inadequate Slab Thickness"
10.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
11.png,longitudinal,2.0,"Join Issues, Wearing Course Issues"
12.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
13.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
14.png,block,10.0,"Join Issues, Inadequate Slab Thickness, Wearing Course Issues, Aged/Hardened Bitumen"
15.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
16.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
17.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
18.png,block,6.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
19.png,block,7.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
20.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
21.png,crescent,4.0,Wearing Course Issues
22.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
23.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
24.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
25.png,crescent,2.0,Wearing Course Issues
26.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
27.png,block,8.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
28.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
29.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
30.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
31.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
32.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
33.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
34.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
35.png,meandering,7.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots, Wearing Course Issues"
36.png,crescent,3.0,Wearing Course Issues
37.png,meandering,9.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
38.png,block,9.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
39.png,meandering,8.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
40.png,longitudinal,2.0,Join Issues
41.png,longitudinal,4.0,Join Issues
42.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
43.png,transverse,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
44.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
45.png,block,7.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
46.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
47.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
48.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
49.png,longitudinal,2.0,Join Issues
50.png,longitudinal,1.0,Join Issues
51.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
52.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
53.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
54.png,block,7.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
55.png,transverse,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
56.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
57.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
58.png,longitudinal,2.0,Join Issues
59.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
60.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
61.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
62.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
63.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
64.png,crescent,1.0,Wearing Course Issues
65.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
